kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
BTN,Bhutan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.3,19.1,17.9,16.9
BWA,Botswana,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,40.0,38.7,37.4,36.5
CAF,Central African Republic,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,88.4,73.9,128.9,74.7
CAN,Canada,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.5,4.5,4.5,4.5
CEB,Central Europe and the Baltics,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.45228247513288,4.26028713692627,4.05222839523211,3.992462176151
CHE,Switzerland,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.6,3.6,3.5,3.5
CHL,Chile,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.5,6.3,6.0,5.8
CHN,China,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.0,6.4,6.0,5.5
CIV,Cote d'Ivoire,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,55.2,53.5,51.8,50.3
CMR,Cameroon,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,49.6,48.0,46.9,45.5
COD,"Congo, Dem. Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,55.4,55.8,56.5,57.2
COG,"Congo, Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,33.2,32.2,33.2,30.3
COL,Colombia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.1,12.7,12.3,11.9
COM,Comoros,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,41.3,40.6,39.8,38.9
CPV,Cabo Verde,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.1,14.1,13.2,12.5
CRI,Costa Rica,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.7,7.8,7.9,8.1
CSS,Caribbean small states,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.5721339239187,19.1054984373631,19.1223174409837,18.3715076996184
