kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
IRL,Ireland,"Population, total",SP.POP.TOTL,4827445.0,4898022.0,4976456.0,5039747.0
IRN,"Iran, Islamic Rep.","Population, total",SP.POP.TOTL,85026754.0,86117998.0,87051648.0,87723443.0
IRQ,Iraq,"Population, total",SP.POP.TOTL,39337353.0,40265624.0,41192171.0,42116605.0
ISL,Iceland,"Population, total",SP.POP.TOTL,343400.0,352721.0,360563.0,366463.0
ISR,Israel,"Population, total",SP.POP.TOTL,8713300.0,8882800.0,9054000.0,9215100.0
ITA,Italy,"Population, total",SP.POP.TOTL,60002252.0,60148658.0,59729081.0,59438851.0
JAM,Jamaica,"Population, total",SP.POP.TOTL,2815764.0,2820097.0,2823271.0,2830739.0
JOR,Jordan,"Population, total",SP.POP.TOTL,10234226.0,10462306.0,10671891.0,10865228.0
JPN,Japan,"Population, total",SP.POP.TOTL,126972000.0,126811000.0,126633000.0,126261000.0
KAZ,Kazakhstan,"Population, total",SP.POP.TOTL,18651931.0,18932727.0,19209555.0,19482117.0
KEN,Kenya,"Population, total",SP.POP.TOTL,49197766.0,50207107.0,51202827.0,52217334.0
KGZ,Kyrgyz Republic,"Population, total",SP.POP.TOTL,6306696.0,6444079.0,6590211.0,6726596.0
KHM,Cambodia,"Population, total",SP.POP.TOTL,16073372.0,16274522.0,16481304.0,16725474.0
KIR,Kiribati,"Population, total",SP.POP.TOTL,120275.0,122084.0,123921.0,126099.0
KNA,St. Kitts and Nevis,"Population, total",SP.POP.TOTL,47050.0,47008.0,46952.0,46870.0
KOR,"Korea, Rep.","Population, total",SP.POP.TOTL,51361911.0,51585058.0,51764822.0,51836239.0
KWT,Kuwait,"Population, total",SP.POP.TOTL,4154812.0,4323515.0,4442316.0,4400267.0
LAC,Latin America & Caribbean (excluding high income),"Population, total",SP.POP.TOTL,561957179.0,567711159.0,573311679.0,578091505.0
LAO,Lao PDR,"Population, total",SP.POP.TOTL,7018147.0,7128045.0,7237636.0,7346533.0
LBN,Lebanon,"Population, total",SP.POP.TOTL,6160128.0,5984119.0,5794594.0,5702398.0
LBR,Liberia,"Population, total",SP.POP.TOTL,4848925.0,4944726.0,5043721.0,5149463.0
LBY,Libya,"Population, total",SP.POP.TOTL,6738770.0,6849055.0,6951033.0,7045399.0
LCA,St. Lucia,"Population, total",SP.POP.TOTL,176342.0,177017.0,177661.0,178250.0
LCN,Latin America & Caribbean,"Population, total",SP.POP.TOTL,630414986.0,635778081.0,640962372.0,645498186.0
LDC,Least developed countries: UN classification,"Population, total",SP.POP.TOTL,1008993468.0,1033110314.0,1058013514.0,1083636132.0
