cause_id,penyebab_kematian
CS03679,Occupant of railway train or railway vehicle injured by fall in railway train or railway vehicle
CS03680,Occupant of streetcar injured in collision with or hit by rolling stock
CS03681,Occupant of streetcar injured by fall from streetcar
CS03682,Occupant of streetcar injured in other specified transport accidents
CS03683,Passenger of special industrial vehicle injured in traffic accident
CS03684,Unspecified occupant of special agricultural vehicle injured in nontraffic accident
CS03685,Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)
CS03686,Unspecified aircraft accident injuring occupant
CS03687,Exposure to man-made visible and ultraviolet light
CS03688,Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust
CS03689,Enteropathogenic Escherichia coli infection
CS03690,Other specified intestinal infections
CS03691,"Tuberculosis of lung, confirmed by unspecified means"
CS03692,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
CS03693,"Tuberculosis of lung, bacteriological and histological examination not done"
CS03694,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
CS03695,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
CS03696,Meningeal tuberculoma
CS03697,Tuberculosis of skin and subcutaneous tissue
CS03698,Acute miliary tuberculosis of multiple sites
CS03699,Other miliary tuberculosis
CS03700,"Brucellosis, unspecified"
CS03701,Lyme disease
CS03702,"Acute poliomyelitis, unspecified"
CS03703,Measles without complication
CS03704,"Cytomegaloviral disease, unspecified"
CS03705,"Infectious mononucleosis, unspecified"
CS03706,Rhinocerebral mucormycosis
CS03707,"Schistosomiasis, unspecified"
CS03708,Malignant neoplasm: Upper gum
CS03709,Malignant neoplasm: Anterior surface of epiglottis
CS03710,Malignant neoplasm: Abdominal part of oesophagus
CS03711,Malignant neoplasm: Overlapping lesion of stomach
CS03712,Malignant neoplasm: Ileum
CS03713,Malignant neoplasm: Overlapping lesion of pancreas
CS03714,Malignant neoplasm: Middle ear
CS03715,Malignant neoplasm: Subglottis
CS03716,Malignant neoplasm: Short bones of lower limb
CS03717,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs
CS03718,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
CS03719,Malignant neoplasm: Malignant melanoma of ear and external auricular canal
CS03720,Other classical Hodgkin lymphoma
CS03721,Prolymphocytic leukaemia of B-cell type
CS03722,"Atypical chronic myeloid leukaemia, BCR/ABL- negative"
CS03723,Unifocal Langerhans-cell histiocytosis
CS03724,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
CS03725,Benign neoplasm: Long bones of lower limb
CS03726,"Other benign neoplasm: Uterus, unspecified"
CS03727,"Benign neoplasm: Female genital organ, unspecified"
CS03728,Benign neoplasm: Spinal meninges
CS03729,"Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified"
CS03730,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified"
CS03731,"Vitamin B 12 deficiency anaemia, unspecified"
CS03732,"Other megaloblastic anaemias, not elsewhere classified"
CS03733,Anaemia due to disorders of glycolytic enzymes
CS03734,Other specified hereditary haemolytic anaemias
CS03735,Drug-induced autoimmune haemolytic anaemia
CS03736,Other specified aplastic anaemias
CS03737,Other specified coagulation defects
CS03738,Abscess of spleen
CS03739,"Combined immunodeficiency, unspecified"
CS03740,Other specified immunodeficiencies
CS03741,Cryoglobulinaemia
CS03742,"Other specified disorders involving the immune mechanism, not elsewhere classified"
CS03743,"Disorder involving the immune mechanism, unspecified"
CS03744,Other specified nontoxic goitre
CS03745,Type 2 diabetes mellitus with ophthalmic complications
CS03746,Other specified diabetes mellitus with renal complications
CS03747,Drug-induced hypoglycaemia without coma
CS03748,"Disorder of pancreatic internal secretion, unspecified"
CS03749,Primary hyperparathyroidism
CS03750,"Cushing syndrome, unspecified"
CS03751,"Polyglandular dysfunction, unspecified"
CS03752,"Endocrine disorder, unspecified"
CS03753,Moderate protein-energy malnutrition
CS03754,Other disorders of branched-chain amino-acid metabolism
CS03755,Disorders of fatty-acid metabolism
CS03756,Disorders of lysine and hydroxylysine metabolism
CS03757,Other specified disorders of carbohydrate metabolism
CS03758,"Disorder of purine and pyrimidine metabolism, unspecified"
CS03759,Mild depressive episode
CS03760,Other specified mood [affective] disorders
CS03761,"Anxiety disorder, unspecified"
CS03762,Adjustment disorders
CS03763,Atypical autism
CS03764,Meningitis due to other specified causes
CS03765,Central pontine myelinolysis
CS03766,"Inflammatory polyneuropathy, unspecified"
CS03767,"Primary disorder of muscle, unspecified"
CS03768,Other specified myopathies
CS03769,Spastic diplegic cerebral palsy
CS03770,Other hydrocephalus
CS03771,Other specified disorders of central nervous system
CS03772,Other chorioretinal inflammations
CS03773,"Acute rheumatic heart disease, unspecified"
CS03774,Silent myocardial ischaemia
CS03775,Aneurysm of pulmonary artery
CS03776,"Disease of pulmonary vessels, unspecified"
CS03777,Nonrheumatic mitral (valve) stenosis
CS03778,Other and unspecified premature depolarization
CS03779,"Rupture of chordae tendineae, not elsewhere classified"
CS03780,Subarachnoid haemorrhage from anterior communicating artery
CS03781,"Thoracoabdominal aortic aneurysm, ruptured"
CS03782,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
CS03783,Other specified disorders of veins
CS03784,Acute pansinusitis
CS03785,Acute obstructive laryngitis [croup]
CS03786,"Influenza with pneumonia, seasonal influenza virus identified"
CS03787,Other viral pneumonia
CS03788,Pneumonia due to other specified infectious organisms
CS03789,"Allergic rhinitis, unspecified"
CS03790,Other chronic sinusitis
CS03791,"Unspecified respiratory condition due to chemicals, gases, fumes and vapours"
CS03792,Pneumonitis due to other solids and liquids
CS03793,Other cysts of jaw
CS03794,Gastric ulcer : acute with perforation
CS03795,Duodenal ulcer : acute with haemorrhage
CS03796,Duodenal ulcer : chronic or unspecified with both haemorrhage and perforation
CS03797,"Peptic ulcer, site unspecified : acute with haemorrhage"
CS03798,Polyp of stomach and duodenum
CS03799,Incisional hernia with gangrene
CS03800,Other Crohn disease
CS03801,Diverticular disease of small intestine with perforation and abscess
CS03802,Diverticular disease of small intestine without perforation or abscess
CS03803,Diverticular disease of both small and large intestine with perforation and abscess
CS03804,Irritable bowel syndrome with predominant diarrhoea [IBS-D]
CS03805,Ulcer of intestine
CS03806,Perianal venous thrombosis
CS03807,Other specified haemorrhoids
CS03808,Toxic liver disease with cholestasis
CS03809,Toxic liver disease with hepatic necrosis
CS03810,Toxic liver disease with fibrosis and cirrhosis of liver
CS03811,"Other chronic hepatitis, not elsewhere classified"
CS03812,Secondary biliary cirrhosis
CS03813,Obstruction of gallbladder
CS03814,"Disease of biliary tract, unspecified"
CS03815,Acute lymphadenitis of lower limb
CS03816,Pyoderma
CS03817,Arthropathic psoriasis
CS03818,Lichen sclerosus et atrophicus
CS03819,Localized scleroderma [morphea]
CS03820,Other specified rheumatoid arthritis
CS03821,Aortic arch syndrome [Takayasu]
CS03822,Spinal stenosis
CS03823,Other specified intervertebral disc disorders
CS03824,"Disorder of bone density and structure, unspecified"
CS03825,Acquired deformity of chest and rib
CS03826,Nephrotic syndrome : focal and segmental glomerular lesions
CS03827,Acute renal failure with tubular necrosis
CS03828,Other acute renal failure
CS03829,Calculus in bladder
CS03830,Chronic prostatitis
CS03831,Other specified disorders of prostate
CS03832,Inflammatory disorder of unspecified male genital organ
CS03833,Other diseases of Bartholin gland
CS03834,Abscess of vulva
CS03835,"Uterovaginal prolapse, unspecified"
CS03836,Delayed and secondary postpartum haemorrhage
CS03837,Central nervous system complications of anaesthesia during the puerperium
CS03838,Fetus and newborn affected by maternal nutritional disorders
CS03839,Fetus and newborn affected by unspecified maternal condition
CS03840,Fetus and newborn affected by other and unspecified conditions of umbilical cord
CS03841,Other heavy for gestational age infants
CS03842,Other brachial plexus birth injuries
CS03843,Congenital pneumonia due to other organisms
CS03844,Hydrops fetalis due to isoimmunization
CS03845,"Neonatal jaundice due to excessive haemolysis, unspecified"
CS03846,Transient neonatal thrombocytopenia
CS03847,Other specified perinatal haematological disorders
CS03848,Other disorders of muscle tone of newborn
CS03849,"Disorder of muscle tone of newborn, unspecified"
CS03850,Occipital encephalocele
CS03851,Cervical spina bifida without hydrocephalus
CS03852,Arnold-Chiari syndrome
CS03853,"Congenital malformation of nervous system, unspecified"
CS03854,Malformation of coronary vessels
CS03855,Congenital heart block
CS03856,Other congenital malformations of aorta
CS03857,"Anomalous pulmonary venous connection, unspecified"
CS03858,Portal vein-hepatic artery fistula
CS03859,Arteriovenous malformation of cerebral vessels
CS03860,Congenital laryngomalacia
CS03861,"Congenital malformation of respiratory system, unspecified"
CS03862,Unspecified cleft palate with unilateral cleft lip
CS03863,Ankyloglossia
CS03864,Atresia of oesophagus with tracheo-oesophageal fistula
CS03865,Congenital vesico-uretero-renal reflux
CS03866,Macrocephaly
CS03867,"Other congenital malformations of spine, not associated with scoliosis"
CS03868,"Congenital malformation of musculoskeletal system, unspecified"
CS03869,Other congenital ichthyosis
CS03870,"Epidermolysis bullosa, unspecified"
CS03871,Xeroderma pigmentosum
CS03872,"Congenital malformation of skin, unspecified"
CS03873,Neurofibromatosis (nonmalignant)
CS03874,Other specified chromosome abnormalities
CS03875,Other specified symptoms and signs involving the circulatory and respiratory systems
CS03876,"Localized swelling, mass and lump, trunk"
CS03877,Other and unspecified abnormalities of gait and mobility
CS03878,"State of emotional shock and stress, unspecified"
CS03879,Other and unspecified voice disturbances
CS03880,Other specified fever
CS03881,Abnormal findings on diagnostic imaging of heart and coronary circulation
CS03882,Unspecified bus occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
CS03883,During unspecified surgical and medical care
CS03884,Sequelae of war operations
CS03885,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
CS03886,Malignant neoplasm: Laryngeal cartilage
CS03887,Other specified disorders of thyroid
CS03888,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder
CS03889,Car occupant injured in collision with fixed or stationary object : unspecified car occupant injured in traffic accident
CS03890,Malignant neoplasm: Central portion of breast
CS03891,Thyroid crisis or storm
CS03892,"Other specified abdominal hernia with obstruction, without gangrene"
CS03893,Legal intervention involving firearm discharge
CS03894,Toxoplasma oculopathy
CS03895,Sarcoidosis of lung with sarcoidosis of lymph nodes
CS03896,Mental and behavioural disorders due to use of cocaine : harmful use
CS03897,"Hydrocele, unspecified"
CS03898,Other lack of expected normal physiological development
CS03899,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : harmful use
CS03900,Dengue with warning signs
CS03901,"Secondary parkinsonism, unspecified"
CS03902,Other gastritis
CS03903,Other specified intestinal obstruction of newborn
CS03904,Dextrocardia
CS03905,Enteropathy-type (intestinal) T-cell lymphoma
CS03906,Double heterozygous sickling disorders
CS03907,Other and unspecified right bundle-branch block
CS03908,Venous insufficiency (chronic)(peripheral)
CS03909,Gastroenteritis and colitis due to radiation
CS03910,"Chronic kidney disease, stage 3"
CS03911,Diffuse cystic mastopathy
CS03912,Cyanotic attacks of newborn
CS03913,Systemic Inflammatory Response Syndrome of non-infectious origin without organ failure
CS03914,Other intestinal Escherichia coli infections
CS03915,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
CS03916,"Viral intestinal infection, unspecified"
CS03917,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
CS03918,"Tuberculosis of lung, confirmed by culture only"
CS03919,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
CS03920,"Acute miliary tuberculosis, unspecified"
CS03921,"Leprosy, unspecified"
CS03922,"Mycobacterial infection, unspecified"
CS03923,"Meningococcaemia, unspecified"
CS03924,"Meningococcal infection, unspecified"
CS03925,"Sepsis due to streptococcus, group A"
CS03926,Other streptococcal sepsis
CS03927,Sepsis due to other specified staphylococcus
CS03928,"Actinomycosis, unspecified"
CS03929,Pulmonary nocardiosis
CS03930,"Nocardiosis, unspecified"
CS03931,"Bartonellosis, unspecified"
CS03932,"Streptococcal and enterococcal infection, unspecified site"
CS03933,"Early congenital syphilis, symptomatic"
CS03934,"Neurosyphilis, unspecified"
CS03935,"Syphilis, unspecified"
CS03936,Haemorrhagic fever with renal syndrome
CS03937,Varicella with other complications
CS03938,Varicella without complication
CS03939,Zoster meningitis
CS03940,HIV disease resulting in cytomegaloviral disease
CS03941,HIV disease resulting in Kaposi sarcoma
CS03942,HIV disease resulting in Burkitt lymphoma
CS03943,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
CS03944,HIV disease resulting in lymphoid interstitial pneumonitis
CS03945,Acute HIV infection syndrome
CS03946,Cytomegaloviral pneumonitis
CS03947,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
CS03948,"Adenovirus infection, unspecified site"
CS03949,Acute pulmonary histoplasmosis capsulati
CS03950,"Pulmonary histoplasmosis capsulati, unspecified"
CS03951,Disseminated histoplasmosis capsulati
CS03952,Disseminated paracoccidioidomycosis
CS03953,Invasive pulmonary aspergillosis
CS03954,Pulmonary cryptococcosis
CS03955,Osseous cryptococcosis
CS03956,Disseminated cryptococcosis
CS03957,Disseminated mucormycosis
CS03958,Opportunistic mycoses
CS03959,Other specified mycoses
CS03960,Mucocutaneous leishmaniasis
CS03961,Acute Chagas disease with heart involvement
CS03962,Acute Chagas disease without heart involvement
CS03963,Chagas disease (chronic) with heart involvement
CS03964,Chagas disease (chronic) with digestive system involvement
CS03965,Chagas disease (chronic) with nervous system involvement
CS03966,Chagas disease (chronic) with other organ involvement
CS03967,Toxoplasmosis with other organ involvement
CS03968,Naegleriasis
CS03969,Echinococcus granulosus infection of lung
CS03970,"Echinococcus granulosus infection, other and multiple sites"
CS03971,Cysticercosis of central nervous system
CS03972,"Strongyloidiasis, unspecified"
CS03973,"Intestinal parasitism, unspecified"
CS03974,Cutaneous myiasis
CS03975,Nasopharyngeal myiasis
CS03976,Aural myiasis
CS03977,Myiasis of other sites
CS03978,"Myiasis, unspecified"
CS03979,"Infestation, unspecified"
CS03980,Malignant neoplasm: Dorsal surface of tongue
CS03981,Malignant neoplasm: Border of tongue
CS03982,Malignant neoplasm: Ventral surface of tongue
CS03983,Malignant neoplasm: Overlapping lesion of palate
CS03984,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth
CS03985,Malignant neoplasm: Overlapping lesion of tonsil
CS03986,Malignant neoplasm: Superior wall of nasopharynx
CS03987,Malignant neoplasm: Posterior wall of nasopharynx
CS03988,Malignant neoplasm: Anterior wall of nasopharynx
CS03989,Malignant neoplasm: Overlapping lesion of oesophagus
CS03990,Malignant neoplasm: Body of stomach
CS03991,Malignant neoplasm: Cloacogenic zone
CS03992,Malignant neoplasm: Angiosarcoma of liver
CS03993,Malignant neoplasm: Other sarcomas of liver
CS03994,Malignant neoplasm: Other specified carcinomas of liver
CS03995,Malignant neoplasm: Other parts of pancreas
CS03996,Malignant neoplasm: Sphenoidal sinus
CS03997,"Malignant neoplasm: Accessory sinus, unspecified"
CS03998,Malignant neoplasm: Overlapping lesion of larynx
CS03999,"Malignant neoplasm: Middle lobe, bronchus or lung"
CS04000,Malignant neoplasm: Posterior mediastinum
CS04001,Malignant neoplasm: Malignant melanoma of scalp and neck
CS04002,Malignant neoplasm: Overlapping malignant melanoma of skin
CS04003,Malignant neoplasm: Skin of lip
CS04004,"Malignant neoplasm: Skin of eyelid, including canthus"
CS04005,"Malignant neoplasm: Skin of upper limb, including shoulder"
CS04006,Kaposi sarcoma of soft tissue
CS04007,Kaposi sarcoma of lymph nodes
CS04008,Kaposi sarcoma of other sites
CS04009,"Malignant neoplasm: Peripheral nerves of head, face and neck"
CS04010,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum
CS04011,Malignant neoplasm: Upper-outer quadrant of breast
CS04012,Malignant neoplasm: Axillary tail of breast
CS04013,Malignant neoplasm: Overlapping lesion of breast
CS04014,Malignant neoplasm: Exocervix
CS04015,Malignant neoplasm: Overlapping lesion of cervix uteri
CS04016,Malignant neoplasm: Fundus uteri
CS04017,Malignant neoplasm: Overlapping lesion of corpus uteri
CS04018,Malignant neoplasm: Round ligament
CS04019,"Malignant neoplasm: Uterine adnexa, unspecified"
CS04020,Malignant neoplasm: Scrotum
CS04021,Malignant neoplasm: Other specified male genital organs
CS04022,Malignant neoplasm: Trigone of bladder
CS04023,Malignant neoplasm: Lateral wall of bladder
CS04024,Malignant neoplasm: Urachus
CS04025,Malignant neoplasm: Overlapping lesion of bladder
CS04026,Malignant neoplasm: Choroid
CS04027,Malignant neoplasm: Overlapping lesion of eye and adnexa
CS04028,Malignant neoplasm: Occipital lobe
CS04029,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites
CS04030,"Follicular lymphoma grade III, unspecified"
CS04031,Follicular lymphoma grade IIIb
CS04032,Mantle cell lymphoma
CS04033,Mycosis fungoides
CS04034,"Cutaneous T-cell lymphoma, unspecified"
CS04035,"Extranodal NK/T-cell lymphoma, nasal type"
CS04036,Primary cutaneous CD30-positive T-cell proliferations
CS04037,"Malignant immunoproliferative disease, unspecified"
CS04038,Mature B-cell leukaemia Burkitt-type
CS04039,Myeloid sarcoma
CS04040,Juvenile myelomonocytic leukaemia
CS04041,Acute panmyelosis with myelofibrosis
CS04042,Other leukaemia of unspecified cell type
CS04043,Sarcoma of dendritic cells (accessory cells)
CS04044,Carcinoma in situ: Rectum
CS04045,Carcinoma in situ: Larynx
CS04046,Carcinoma in situ: Bronchus and lung
CS04047,Carcinoma in situ: Other parts of respiratory system
CS04048,"Carcinoma in situ: Respiratory system, unspecified"
CS04049,"Carcinoma in situ of breast, unspecified"
CS04050,"Carcinoma in situ: Cervix, unspecified"
CS04051,Carcinoma in situ: Bladder
CS04052,"Carcinoma in situ, unspecified"
CS04053,Benign neoplasm: Parotid gland
CS04054,"Benign neoplasm: Major salivary gland, unspecified"
CS04055,Benign neoplasm: Heart
CS04056,Benign neoplasm: Lower jaw bone
CS04057,"Benign neoplasm: Pelvic bones, sacrum and coccyx"
CS04058,"Benign neoplasm: Bone and articular cartilage, unspecified"
CS04059,Benign neoplasm: Mesothelial tissue of pleura
CS04060,"Benign neoplasm: Connective and other soft tissue of lower limb, including hip"
CS04061,"Benign neoplasm: Orbit, unspecified"
CS04062,Benign neoplasm: Other specified parts of central nervous system
CS04063,"Benign neoplasm: Central nervous system, unspecified"
CS04064,Benign neoplasm: Peripheral nerves and autonomic nervous system
CS04065,"Neoplasm of uncertain or unknown behaviour: Respiratory organ, unspecified"
CS04066,Neoplasm of uncertain or unknown behaviour: Other male genital organs
CS04067,"Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified"
CS04068,Neoplasm of uncertain or unknown behaviour: Renal pelvis
CS04069,Neoplasm of uncertain or unknown behaviour: Cerebral meninges
CS04070,Neoplasm of uncertain or unknown behaviour: Cranial nerves
CS04071,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia
CS04072,"Refractory anaemia, unspecified"
CS04073,Other myelodysplastic syndromes
CS04074,Histiocytic and mast cell tumours of uncertain and unknown behaviour
CS04075,Neoplasm of uncertain or unknown behaviour: Peritoneum
CS04076,Other specified nutritional anaemias
CS04077,Other nonautoimmune haemolytic anaemias
CS04078,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]
CS04079,Haemoglobinuria due to haemolysis from other external causes
CS04080,"Acquired pure red cell aplasia, unspecified"
CS04081,Hereditary sideroblastic anaemia
CS04082,Congenital dyserythropoietic anaemia
CS04083,Other specified anaemias
CS04084,Acquired coagulation factor deficiency
CS04085,Secondary thrombocytopenia
CS04086,Eosinophilia
CS04087,"Disorder of white blood cells, unspecified"
CS04088,Other diseases of spleen
CS04089,"Methaemoglobinaemia, unspecified"
CS04090,Secondary polycythaemia
CS04091,Polyclonal hypergammaglobulinaemia
CS04092,"Hypergammaglobulinaemia, unspecified"
CS04093,"Congenital iodine-deficiency syndrome, unspecified"
CS04094,"Thyroiditis, unspecified"
CS04095,Malnutrition-related diabetes mellitus with peripheral circulatory complications
CS04096,Malnutrition-related diabetes mellitus without complications
CS04097,"Disorder of parathyroid gland, unspecified"
CS04098,Acromegaly and pituitary gigantism
CS04099,Diabetes insipidus
CS04100,"Disorder of pituitary gland, unspecified"
CS04101,Congenital adrenogenital disorders associated with enzyme deficiency
CS04102,Adrenomedullary hyperfunction
CS04103,Other specified disorders of adrenal gland
CS04104,"Deficiency of nutrient element, unspecified"
CS04105,Other specified hyperalimentation
CS04106,Disorders of tyrosine metabolism
CS04107,Albinism
CS04108,Disorders of ornithine metabolism
CS04109,Disorders of glycine metabolism
CS04110,Other disorders of intestinal carbohydrate absorption
CS04111,"Disorder of carbohydrate metabolism, unspecified"
CS04112,Other gangliosidosis
CS04113,Neuronal ceroid lipofuscinosis
CS04114,"Mucopolysaccharidosis, type II"
CS04115,Other mucopolysaccharidoses
CS04116,Defects in post-translational modification of lysosomal enzymes
CS04117,Defects in glycoprotein degradation
CS04118,Lesch-Nyhan syndrome
CS04119,Other porphyria
CS04120,Disorders of magnesium metabolism
CS04121,"Lipomatosis, not elsewhere classified"
CS04122,Other vascular dementia
CS04123,"Delirium, unspecified"
CS04124,Mild cognitive disorder
CS04125,Other specified mental disorders due to brain damage and dysfunction and to physical disease
CS04126,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction"
CS04127,Mental and behavioural disorders due to use of cannabinoids : unspecified mental and behavioural disorder
CS04128,Mental and behavioural disorders due to use of cocaine : unspecified mental and behavioural disorder
CS04129,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances : psychotic disorder
CS04130,Paranoid schizophrenia
CS04131,Residual schizophrenia
CS04132,Acute schizophrenia-like psychotic disorder
CS04133,"Schizoaffective disorder, depressive type"
CS04134,Other bipolar affective disorders
CS04135,Other depressive episodes
CS04136,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
CS04137,Other somatoform disorders
CS04138,Neurasthenia
CS04139,Atypical anorexia nervosa
CS04140,Other eating disorders
CS04141,Fetishism
CS04142,"Moderate mental retardation with the statement of no, or minimal, impairment of behaviour"
CS04143,Moderate mental retardation : other impairments of behaviour
CS04144,Moderate mental retardation without mention of impairment of behaviour
CS04145,Severe mental retardation without mention of impairment of behaviour
CS04146,"Profound mental retardation with the statement of no, or minimal, impairment of behaviour"
CS04147,Profound mental retardation : significant impairment of behaviour requiring attention or treatment
CS04148,Childhood autism
CS04149,Rett syndrome
CS04150,Haemophilus meningitis
CS04151,Nonpyogenic meningitis
CS04152,Chronic meningitis
CS04153,Postencephalitic parkinsonism
CS04154,"Multiple system atrophy, cerebellar type [MSA-C]"
CS04155,Idiopathic familial dystonia
CS04156,Myoclonus
CS04157,Other Alzheimer disease
CS04158,"Acute disseminated demyelination, unspecified"
CS04159,Diffuse sclerosis
CS04160,Other specified demyelinating diseases of central nervous system
CS04161,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
CS04162,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
CS04163,Vertebro-basilar artery syndrome
CS04164,"Disorder of trigeminal nerve, unspecified"
CS04165,"Nerve root and plexus disorder, unspecified"
CS04166,Mononeuritis multiplex
CS04167,"Mononeuropathy, unspecified"
CS04168,Idiopathic progressive neuropathy
CS04169,"Hereditary and idiopathic neuropathy, unspecified"
CS04170,Other specified polyneuropathies
CS04171,"Inflammatory myopathy, not elsewhere classified"
CS04172,Dyskinetic cerebral palsy
CS04173,Ataxic cerebral palsy
CS04174,Spastic hemiplegia
CS04175,Other specified paralytic syndromes
CS04176,Horner syndrome
CS04177,Reye syndrome
CS04178,Other specified diseases of spinal cord
CS04179,"Disorder of orbit, unspecified"
CS04180,Corneal ulcer
CS04181,"Disorder of cornea, unspecified"
CS04182,Other iridocyclitis
CS04183,Choroidal haemorrhage and rupture
CS04184,Other acute rheumatic heart disease
CS04185,Rheumatic chorea without heart involvement
CS04186,Rheumatic aortic stenosis
CS04187,"Tricuspid valve disease, unspecified"
CS04188,Other multiple valve diseases
CS04189,Rheumatic myocarditis
CS04190,Other specified rheumatic heart diseases
CS04191,Subsequent myocardial infarction of anterior wall
CS04192,Subsequent myocardial infarction of other sites
CS04193,Subsequent myocardial infarction of unspecified site
CS04194,Dressler syndrome
CS04195,"Atherosclerotic cardiovascular disease, so described"
CS04196,Other specified diseases of pulmonary vessels
CS04197,Acute nonspecific idiopathic pericarditis
CS04198,Chronic adhesive pericarditis
CS04199,Other specified diseases of pericardium
CS04200,Mitral (valve) prolapse
CS04201,Other aortic valve disorders
CS04202,Other pulmonary valve disorders
CS04203,Other acute myocarditis
CS04204,"Atrioventricular block, first degree"
CS04205,Bifascicular block
CS04206,Trifascicular block
CS04207,Pre-excitation syndrome
CS04208,"Paroxysmal tachycardia, unspecified"
CS04209,Atypical atrial flutter
CS04210,Atrial premature depolarization
CS04211,Subarachnoid haemorrhage from posterior communicating artery
CS04212,Subarachnoid haemorrhage from other intracranial arteries
CS04213,Cerebral infarction due to embolism of precerebral arteries
CS04214,"Dissection of cerebral arteries, nonruptured"
CS04215,Aneurysm and dissection of renal artery
CS04216,Aneurysm and dissection of iliac artery
CS04217,Hereditary haemorrhagic telangiectasia
CS04218,Varicose veins of lower extremities with inflammation
CS04219,Varicose veins of lower extremities with both ulcer and inflammation
CS04220,Varicose veins of other specified sites
CS04221,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"
CS04222,Idiopathic hypotension
CS04223,Other hypotension
CS04224,"Acute tonsillitis, unspecified"
CS04225,Acute laryngitis
CS04226,Acute laryngotracheitis
CS04227,"Influenza with other manifestations, seasonal influenza virus identified"
CS04228,Parainfluenza virus pneumonia
CS04229,Acute bronchiolitis due to other specified organisms
CS04230,Chronic rhinitis
CS04231,"Chronic sinusitis, unspecified"
CS04232,Chronic tonsillitis
CS04233,Polyp of vocal cord and larynx
CS04234,Stenosis of larynx
CS04235,Other diseases of larynx
CS04236,"Disease of upper respiratory tract, unspecified"
CS04237,Simple chronic bronchitis
CS04238,Mucopurulent chronic bronchitis
CS04239,Nonallergic asthma
CS04240,Bagassosis
CS04241,Air-conditioner and humidifier lung
CS04242,Hypersensitivity pneumonitis due to other organic dusts
CS04243,Hypersensitivity pneumonitis due to unspecified organic dust
CS04244,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours"
CS04245,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours"
CS04246,Respiratory conditions due to unspecified external agent
CS04247,Other spontaneous pneumothorax
CS04248,Interstitial emphysema
CS04249,Periapical abscess with sinus
CS04250,"Dentofacial anomaly, unspecified"
CS04251,"Cyst of oral region, unspecified"
CS04252,Developmental disorders of jaws
CS04253,Abscess of salivary gland
CS04254,Gastro-oesophageal reflux disease with oesophagitis
CS04255,Achalasia of cardia
CS04256,"Diverticulum of oesophagus, acquired"
CS04257,Gastric ulcer : acute with both haemorrhage and perforation
CS04258,Gastric ulcer : chronic or unspecified with both haemorrhage and perforation
CS04259,Gastric ulcer : chronic without haemorrhage or perforation
CS04260,Duodenal ulcer : acute with both haemorrhage and perforation
CS04261,Duodenal ulcer : acute without haemorrhage or perforation
CS04262,"Peptic ulcer, site unspecified : acute with both haemorrhage and perforation"
CS04263,Gastrojejunal ulcer : acute with perforation
CS04264,Gastrojejunal ulcer : chronic or unspecified with haemorrhage
CS04265,Chronic superficial gastritis
CS04266,"Gastroduodenitis, unspecified"
CS04267,Obstruction of duodenum
CS04268,Fistula of stomach and duodenum
CS04269,Other specified diseases of appendix
CS04270,"Disease of appendix, unspecified"
CS04271,"Bilateral inguinal hernia, with obstruction, without gangrene"
CS04272,"Bilateral inguinal hernia, without obstruction or gangrene"
CS04273,"Unilateral or unspecified femoral hernia, without obstruction or gangrene"
CS04274,"Diaphragmatic hernia with obstruction, without gangrene"
CS04275,Other specified abdominal hernia with gangrene
CS04276,Other specified abdominal hernia without obstruction or gangrene
