cause_id,penyebab_kematian
CS00386,Transient cerebral ischaemic attacks and related syndromes
CS00387,Facial nerve disorders
CS00388,Nerve root and plexus disorders
CS00389,Mononeuropathies of upper limb
CS00390,Mononeuropathies of lower limb
CS00391,Hereditary and idiopathic neuropathy
CS00392,Inflammatory polyneuropathy
CS00393,Other polyneuropathies
CS00394,Other disorders of peripheral nervous system
CS00395,Myasthenia gravis and other myoneural disorders
CS00396,Primary disorders of muscles
CS00397,Other myopathies
CS00398,Cerebral palsy
CS00399,Hemiplegia
CS00400,Paraplegia and tetraplegia
CS00401,Other paralytic syndromes
CS00402,Disorders of autonomic nervous system
CS00403,Hydrocephalus
CS00404,Toxic encephalopathy
CS00405,Other disorders of brain
CS00406,Other diseases of spinal cord
CS00407,Other disorders of central nervous system
CS00408,"Other disorders of nervous system, not elsewhere classified"
CS00409,Hordeolum and chalazion
CS00410,Other inflammation of eyelid
CS00411,Disorders of lacrimal system
CS00412,Conjunctivitis
CS00413,Other disorders of iris and ciliary body
CS00414,Senile cataract
CS00415,Other strabismus
CS00416,Visual impairment including blindness (binocular or monocular)
CS00417,Other disorders of eye and adnexa
CS00418,Suppurative and unspecified otitis media
CS00419,Eustachian salpingitis and obstruction
CS00420,Perforation of tympanic membrane
CS00421,Rheumatic fever without mention of heart involvement
CS00422,Rheumatic fever with heart involvement
CS00423,Rheumatic chorea
CS00424,Rheumatic mitral valve diseases
CS00425,Rheumatic aortic valve diseases
CS00426,Rheumatic tricuspid valve diseases
CS00427,Multiple valve diseases
CS00428,Other rheumatic heart diseases
CS00429,Essential (primary) hypertension
CS00430,Hypertensive heart disease
CS00431,Hypertensive renal disease
CS00432,Hypertensive heart and renal disease
CS00433,Secondary hypertension
CS00434,Angina pectoris
CS00435,Acute myocardial infarction
CS00436,Subsequent myocardial infarction
CS00437,Other acute ischaemic heart diseases
CS00438,Chronic ischaemic heart disease
CS00439,Pulmonary embolism
CS00440,Other pulmonary heart diseases
CS00441,Other diseases of pulmonary vessels
CS00442,Acute pericarditis
CS00443,Other diseases of pericardium
CS00444,Acute and subacute endocarditis
CS00445,Nonrheumatic mitral valve disorders
CS00446,Nonrheumatic aortic valve disorders
CS00447,Nonrheumatic tricuspid valve disorders
CS00448,Pulmonary valve disorders
CS00449,"Endocarditis, valve unspecified"
CS00450,Acute myocarditis
CS00451,Cardiomyopathy
CS00452,Atrioventricular and left bundle-branch block
CS00453,Other conduction disorders
CS00454,Cardiac arrest
CS00455,Paroxysmal tachycardia
CS00456,Atrial fibrillation and flutter
CS00457,Other cardiac arrhythmias
CS00458,Heart failure
